id,category,severity,title,description,vulnerable_code,fixed_code,fix_pattern,language,compiler_version,context,is_synthetic,generation_timestamp,variant_seed
SYNTH-00001451-00019,front_running,medium,Front Running in money_market contract (variant 1451),Integer overflow in money_market balance calculation,"function addBalance(uint256 amount) public {
    balance += amount;
}","function addBalance(uint256 amount) public {
    uint256 newBalance = balance + amount;
    require(newBalance >= balance, ""Overflow"");
    balance = newBalance;
}",secure-pattern,solidity,0.8.22,money_market,True,2026-08-08T00:01:52.555828+00:00,1451
SYNTH-00009496-00056,front_running,critical,Front Running in staking contract (variant 9496),Delegatecall vulnerability in staking proxy pattern,"// Variant 9496: staking
function upgrade(address newImplementation) public {
    implementation = newImplementation;
}","function upgrade(address newImplementation) public onlyOwner {
    require(newImplementation != address(0), ""Zero address"");
    require(Address.isContract(newImplementation), ""Not a contract"");
    implementation = newImplementation;
}",secure-pattern,solidity,0.8.19,staking,True,2026-08-08T00:01:52.427301+00:00,9496
SYNTH-00005560-00002,arbitrary_external_call,medium,Arbitrary External Call in options contract (variant 5560),Unprotected selfdestruct in options contract,"// Variant 5560: options
function destroy() public {
    selfdestruct(payable(msg.sender));
}","function destroy() public onlyOwner {
    emit ContractDestroyed(address(this));
    selfdestruct(payable(owner));
}",secure-pattern,solidity,0.8.19,options,True,2026-08-08T00:01:52.416297+00:00,5560
SYNTH-00000232-00026,proxy_storage_collision,medium,Proxy Storage Collision in insurance contract (variant 232),tx.origin authentication bypass in insurance,"function transferOwnership(address newOwner) public {
    require(tx.origin == owner, ""Not owner"");
    owner = newOwner;
}","function transferOwnership(address newOwner) public onlyOwner {
    require(newOwner != address(0), ""Zero address"");
    emit OwnershipTransferred(owner, newOwner);
    owner = newOwner;
}",secure-pattern,solidity,0.8.19,insurance,True,2026-08-08T00:01:52.448303+00:00,232
SYNTH-00007098-00003,reentrancy_read,high,Reentrancy Read in lending contract (variant 7098),Flash loan attack vector in lending price calculation,"function getCollateralValue() public view returns (uint256) {
    return balanceOfPool * getPrice();
}","// Variant 7098: lending
function getCollateralValue() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    uint256 twapPrice = TWAP.getPrice(reserve0, reserve1);
    return Math.min(balanceOfPool, reserve0) * twapPrice / 1e18;
}",pull-over-push,solidity,0.8.19,lending,True,2026-08-08T00:01:52.443300+00:00,7098
SYNTH-00009941-00014,reentrancy_no_eth,low,Reentrancy No Eth in options contract (variant 9941),Single-source price oracle vulnerable to manipulation in options,"function getPrice() public view returns (uint256) {
    return spotPrice;
}","function getPrice() public view returns (uint256) {
    (uint256 reserve0, uint256 reserve1, ) = pool.getReserves();
    return reserve0 * 1e18 / reserve1;
}",pull-over-push,solidity,0.8.19,options,True,2026-08-08T00:01:52.441300+00:00,9941
SYNTH-00005942-00071,access_control,critical,Access Control in staking contract (variant 5942),Delegatecall vulnerability in staking proxy pattern,"// Variant 5942: staking
function upgrade(address newImplementation) public {
    implementation = newImplementation;
}","function upgrade(address newImplementation) public onlyOwner {
    require(newImplementation != address(0), ""Zero address"");
    require(Address.isContract(newImplementation), ""Not a contract"");
    implementation = newImplementation;
}",secure-pattern,solidity,0.8.22,staking,True,2026-08-08T00:01:52.430301+00:00,5942
SYNTH-00004358-00019,signature_replay,low,Signature Replay in bridge contract (variant 4358),Delegatecall vulnerability in bridge proxy pattern,"// Variant 4358: bridge
function upgrade(address newImplementation) public {
    implementation = newImplementation;
}","function upgrade(address newImplementation) public onlyOwner {
    require(newImplementation != address(0), ""Zero address"");
    require(Address.isContract(newImplementation), ""Not a contract"");
    implementation = newImplementation;
}",secure-pattern,solidity,0.8.20,bridge,True,2026-08-08T00:01:52.426301+00:00,4358
SYNTH-00000232-00071,proxy_storage_collision,medium,Proxy Storage Collision in insurance contract (variant 232),tx.origin authentication bypass in insurance,"function transferOwnership(address newOwner) public {
    require(tx.origin == owner, ""Not owner"");
    owner = newOwner;
}","function transferOwnership(address newOwner) public onlyOwner {
    require(newOwner != address(0), ""Zero address"");
    emit OwnershipTransferred(owner, newOwner);
    owner = newOwner;
}",secure-pattern,solidity,0.8.19,insurance,True,2026-08-08T00:01:52.624344+00:00,232
SYNTH-00006143-00033,integer_overflow,medium,Integer Overflow in dex contract (variant 6143),integer_overflow vulnerability in dex contract allows unauthorized access,"function withdraw() public {
    uint256 amount = balances[msg.sender];
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] = 0;
}","function withdraw() public nonReentrant {
    uint256 amount = balances[msg.sender];
    require(amount > 0, ""No balance"");
    balances[msg.sender] = 0;
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success, ""Transfer failed"");
}",secure-pattern,solidity,0.8.22,dex,True,2026-08-08T00:01:52.543820+00:00,6143
